	YEAR	MONTH	DAY	HOUR	MIN	  LAT	LON	P_hail_BC2019	MIN10PCT	MIN19PCT	MIN37PCT	MIN85PCT	FLAG
	2014	04	05	11	11	 -24.83	 122.73	0.439		290.4064	250.5316	205.6740	129.0780	0
	2014	04	26	04	04	 -37.82	 154.12	0.491		274.3833	262.3407	190.0981	100.4089	1
	2014	05	02	01	55	 -34.69	 154.26	0.302		273.0558	266.1429	214.4625	113.7481	1
	2014	05	21	07	42	 -27.51	 126.67	0.222		307.2687	265.6648	224.8472	145.4815	0
	2014	05	21	07	42	 -25.77	 126.86	0.317		315.8432	261.1158	209.2517	128.4761	0
	2014	07	25	10	20	 -39.98	 153.83	0.785		265.9528	250.4153	195.6287	 98.3462	1
	2014	09	09	12	02	 -36.88	 147.68	0.242		271.2675	264.0773	225.6805	120.1462	1
	2014	10	19	02	06	 -28.85	 122.10	0.205		286.8278	259.7376	217.1978	142.2825	0
	2014	10	19	11	52	 -26.08	 123.38	0.459		303.5817	257.0978	208.3407	126.1917	0
	2014	10	27	08	02	 -26.95	 152.76	0.244		277.7611	261.9821	214.6478	143.5551	0
	2014	10	30	08	29	 -28.46	 131.53	0.210		297.1253	266.0901	226.3882	142.9756	0
	2014	10	31	07	36	 -28.01	 131.68	0.323		295.7907	260.8662	207.7929	127.4345	0
	2014	11	01	08	19	 -23.53	 128.55	0.587		295.6328	238.8542	194.0774	117.3733	0
	2014	11	01	08	20	 -17.53	 129.85	0.241		294.5175	262.3464	219.8979	136.8114	0
	2014	11	05	04	44	 -38.42	 151.26	0.410		271.5613	260.5985	213.7826	 96.1987	1
	2014	11	05	04	45	 -33.66	 150.77	0.539		276.3181	257.6827	203.5732	127.9559	0
	2014	11	06	07	04	 -16.01	 125.13	0.398		299.7042	259.6161	202.3379	112.5757	1
	2014	11	08	06	52	 -20.15	 120.41	0.858		295.1092	231.4147	177.0219	 73.4551	1
	2014	11	12	04	53	 -30.36	 120.74	0.721		284.8521	250.0969	192.8673	 94.7461	1
	2014	11	12	04	54	 -30.33	 121.70	0.452		295.8200	252.1017	208.2342	122.7845	0
	2014	11	12	04	54	 -29.94	 121.05	0.421		296.2355	260.5695	212.9836	132.2726	0
	2014	11	14	04	46	 -18.35	 124.55	0.219		299.7042	269.9960	226.9047	103.3669	1
